index_id,sheet,x,y,w,h,area_px,selected_by_active_set,semantic_ids
P9-001,9,1016,47,198,89,13269,False,
P9-002,9,791,40,213,145,23983,False,
P9-003,9,321,39,185,152,23082,False,
P9-004,9,544,40,238,151,25389,True,L01
P9-005,9,1016,134,207,61,7714,False,
P9-006,9,17,19,252,366,57277,False,
P9-007,9,557,203,205,38,3574,False,
P9-008,9,792,197,224,75,10021,False,
P9-009,9,1037,195,195,79,7248,False,
P9-010,9,411,391,84,231,13076,True,L07
P9-011,9,495,392,89,233,13233,False,
P9-012,9,606,394,99,236,13682,False,
P9-013,9,714,394,98,237,13795,False,
P9-014,9,842,393,178,234,23386,False,
P9-015,9,1052,395,178,216,23416,False,
P9-016,9,36,392,80,249,15632,True,L02
P9-017,9,118,392,82,249,15814,True,L03
P9-018,9,244,396,131,235,24620,True,L06
P9-019,9,33,650,65,136,7990,False,
P9-020,9,115,649,64,135,7875,False,
P9-021,9,205,650,70,133,7253,False,
P9-022,9,293,651,72,132,7028,False,
P9-023,9,377,647,87,134,7598,False,
P9-024,9,491,646,62,128,6584,False,
P9-025,9,576,646,71,129,6988,False,
P9-026,9,674,653,89,104,5737,False,
P9-027,9,784,660,80,98,4908,False,
P9-028,9,886,645,82,111,5476,False,
P9-029,9,975,672,70,84,3662,False,
P9-030,9,1061,651,95,109,5659,False,
P9-031,9,1164,650,63,117,5777,False,
P9-032,9,921,763,56,104,4283,False,
P9-033,9,26,794,63,88,4411,False,
P9-034,9,107,794,63,87,4292,False,
P9-035,9,213,795,60,87,3751,False,
P9-036,9,291,795,68,86,3924,False,
P9-037,9,395,795,67,82,3731,False,
P9-038,9,502,793,53,88,3839,False,
P9-039,9,605,793,55,87,3877,False,
P9-040,9,714,794,53,87,3877,False,
P9-041,9,827,774,61,104,4595,False,
P9-042,9,998,778,50,94,3953,False,
P9-043,9,1089,786,60,94,4304,False,
P9-044,9,1165,789,59,93,4100,False,
P9-045,9,1015,890,58,86,4111,False,
P9-046,9,18,894,74,95,5840,True,L04
P9-047,9,98,895,74,94,5713,True,L05
P9-048,9,175,901,71,85,4827,False,
P9-049,9,254,906,41,76,2514,False,
P9-050,9,312,894,74,88,5401,False,
P9-051,9,392,897,80,88,5433,False,
P9-052,9,485,887,80,95,5101,False,
P9-053,9,572,895,45,83,2695,False,
P9-054,9,626,886,72,98,5450,False,
P9-055,9,708,898,78,86,5276,False,
P9-056,9,805,895,74,82,4328,False,
P9-057,9,891,897,58,81,3965,False,
P9-058,9,965,896,41,80,2479,False,
P9-059,9,1092,901,59,71,3562,False,
P9-060,9,1165,901,64,72,3702,False,
P9-061,9,223,993,40,78,2183,False,
P9-062,9,278,992,74,78,4272,False,
P9-063,9,369,990,75,80,4397,False,
P9-064,9,462,988,77,69,3959,False,
P9-065,9,806,998,73,43,2648,False,
P9-066,9,909,993,67,48,2515,False,
P9-067,9,993,1003,72,38,2229,False,
P9-068,9,1077,992,58,55,2725,False,
P9-069,9,1146,992,75,54,3274,False,
P9-070,9,30,1000,79,66,3707,False,
P9-071,9,116,1001,42,66,2029,False,
P9-072,9,169,999,43,66,2479,False,
P9-073,9,547,997,82,81,4737,False,
P9-074,9,646,995,63,107,5462,False,
P9-075,9,732,996,57,106,4913,False,
P9-076,9,432,1074,79,58,1863,False,
P9-077,9,805,1051,92,58,3998,False,
P9-078,9,910,1051,91,59,4243,False,
P9-079,9,1014,1064,94,42,3156,False,
P9-080,9,1122,1063,104,36,2929,False,
P9-081,9,31,1092,67,47,2229,False,
P9-082,9,116,1090,65,47,2105,False,
P9-083,9,204,1091,35,48,1198,False,
P9-084,9,261,1099,64,34,1646,False,
P9-085,9,341,1081,68,57,1693,False,
P9-086,9,532,1094,83,25,1196,False,
P9-087,9,532,1139,79,23,1276,False,
P9-088,9,633,1126,74,28,1124,False,
P9-089,9,817,1123,97,56,4294,False,
P9-090,9,1026,1118,150,36,4455,False,
P9-091,9,45,1154,44,37,1307,False,
P9-092,9,115,1153,60,35,1571,False,
P9-093,9,193,1150,47,35,983,False,
P9-094,9,271,1150,31,35,882,False,
P9-095,9,330,1151,61,38,1716,False,
P9-096,9,427,1126,68,57,1491,False,
P9-097,9,733,1126,72,53,3191,False,
P9-098,9,928,1127,73,51,3127,False,
P9-099,9,529,1181,90,38,1339,False,
P9-100,9,636,1179,67,31,1250,False,
P9-101,9,1038,1164,182,27,3871,False,
P9-102,9,229,1196,27,32,615,False,
P9-103,9,291,1202,43,21,671,False,
P9-104,9,435,1201,57,26,840,False,
P9-105,9,730,1195,131,37,3829,False,
P9-106,9,877,1191,172,38,5185,False,
