index_id,sheet,x,y,w,h,area_px,selected_by_active_set,semantic_ids
P5-001,5,37,42,89,26,957,True,B01
P5-002,5,186,42,89,26,924,True,B02
P5-003,5,357,41,83,29,918,True,B03
P5-004,5,508,49,82,25,893,True,B04
P5-005,5,669,44,82,31,843,True,B05
P5-006,5,820,51,83,26,848,True,B06
P5-007,5,980,42,80,38,839,False,
P5-008,5,1138,59,80,17,765,False,
P5-009,5,37,94,85,34,1217,False,
P5-010,5,190,94,85,35,1221,False,
P5-011,5,363,87,81,47,1529,False,
P5-012,5,502,87,81,47,1556,False,
P5-013,5,670,86,87,52,1675,False,
P5-014,5,817,86,88,52,1708,False,
P5-015,5,985,104,79,27,1260,False,
P5-016,5,1138,102,77,27,1234,False,
P5-017,5,44,180,62,35,580,False,
P5-018,5,210,181,58,30,513,False,
P5-019,5,364,188,79,27,781,False,
P5-020,5,504,188,78,26,795,False,
P5-021,5,667,193,85,27,765,False,
P5-022,5,824,193,87,26,826,False,
P5-023,5,997,201,69,29,627,False,
P5-024,5,40,217,86,49,1610,False,
P5-025,5,182,216,85,48,1631,False,
P5-026,5,1126,199,64,35,616,False,
P5-027,5,364,243,78,28,1122,False,
P5-028,5,504,242,79,29,1136,False,
P5-029,5,669,236,83,44,2217,False,
P5-030,5,825,236,82,44,2209,False,
P5-031,5,986,236,75,44,2050,False,
P5-032,5,1131,224,75,56,2278,False,
P5-033,5,187,323,69,18,711,False,
P5-034,5,678,318,64,28,676,False,
P5-035,5,826,314,64,28,660,False,
P5-036,5,48,333,70,11,673,False,
P5-037,5,371,329,65,31,569,False,
P5-038,5,510,330,62,29,540,False,
P5-039,5,987,319,64,33,573,False,
P5-040,5,1139,321,59,29,536,False,
P5-041,5,184,354,81,52,2499,False,
P5-042,5,684,356,61,51,1164,False,
P5-043,5,827,356,60,51,1164,False,
P5-044,5,981,358,75,44,1353,False,
P5-045,5,1131,354,79,46,1477,False,
P5-046,5,38,365,81,45,2294,False,
P5-047,5,362,370,76,38,1231,False,
P5-048,5,509,369,76,37,1238,False,
P5-049,5,63,457,54,35,530,False,
P5-050,5,363,485,76,13,701,False,
P5-051,5,505,477,74,16,720,False,
P5-052,5,665,471,85,32,922,False,
P5-053,5,817,491,81,18,746,False,
P5-054,5,41,498,80,49,1422,False,
P5-055,5,189,499,80,49,1438,False,
P5-056,5,508,500,79,55,2581,False,
P5-057,5,989,502,85,44,1495,False,
P5-058,5,1137,500,86,45,1526,False,
P5-059,5,361,511,79,47,2416,False,
P5-060,5,668,519,76,34,1096,False,
P5-061,5,826,518,76,33,1097,False,
P5-062,5,16,608,78,72,4311,False,
P5-063,5,108,609,78,70,4298,False,
P5-064,5,204,610,94,71,5346,False,
P5-065,5,309,610,95,73,5568,False,
P5-066,5,418,610,223,79,12712,False,
P5-067,5,672,589,142,129,12591,False,
P5-068,5,815,589,279,130,25529,False,
P5-069,5,1095,590,144,129,13034,False,
P5-070,5,245,707,26,31,668,False,
P5-071,5,672,724,566,130,50607,False,
P5-072,5,39,775,29,45,931,False,
P5-073,5,99,784,27,36,715,False,
P5-074,5,156,770,34,55,1156,False,
P5-075,5,218,774,49,61,1469,False,
P5-076,5,298,759,36,79,1535,False,
P5-077,5,371,772,32,62,1366,False,
P5-078,5,445,771,29,53,1074,False,
P5-079,5,528,759,36,68,1728,False,
P5-080,5,591,773,28,49,958,False,
P5-081,5,53,838,38,61,1221,False,
P5-082,5,128,839,40,62,1257,False,
P5-083,5,231,858,46,46,1205,False,
P5-084,5,280,857,45,47,1215,False,
P5-085,5,368,850,60,74,2775,False,
P5-086,5,476,846,69,82,1937,False,
P5-087,5,574,875,32,28,650,False,
P5-088,5,28,868,46,46,983,False,
P5-089,5,147,869,44,46,944,False,
P5-090,5,231,907,46,44,1175,False,
P5-091,5,280,906,45,45,1160,False,
P5-092,5,595,917,31,28,631,False,
P5-093,5,672,860,143,133,13019,False,
P5-094,5,817,859,281,135,26368,False,
P5-095,5,1100,860,141,134,13493,False,
P5-096,5,386,926,26,26,528,False,
P5-097,5,36,961,72,59,3102,False,
P5-098,5,216,974,48,41,1434,False,
P5-099,5,318,975,43,35,1092,False,
P5-100,5,420,969,58,48,2000,False,
P5-101,5,159,1036,42,38,627,False,
P5-102,5,34,1037,49,50,797,False,
P5-103,5,72,1046,51,47,781,False,
P5-104,5,194,1046,46,46,737,False,
P5-105,5,291,1033,27,64,752,False,
P5-106,5,351,1057,96,36,1288,False,
P5-107,5,665,1000,579,151,61955,False,
P5-108,5,28,1101,173,108,16047,False,
P5-109,5,249,1108,197,101,16615,False,
