index_id,sheet,x,y,w,h,area_px,selected_by_active_set,semantic_ids
P8-001,8,209,20,109,189,12762,False,
P8-002,8,366,20,102,190,13560,False,
P8-003,8,530,19,98,194,13624,False,
P8-004,8,714,20,125,186,13931,False,
P8-005,8,1088,20,129,184,14023,False,
P8-006,8,29,21,106,192,12776,False,
P8-007,8,852,80,89,231,14162,False,
P8-008,8,983,80,90,230,14176,False,
P8-009,8,17,225,121,175,10254,True,A01
P8-010,8,207,225,121,175,10273,True,A02
P8-011,8,350,225,104,184,10681,True,A03
P8-012,8,538,224,105,185,10745,True,A04
P8-013,8,823,397,176,159,11765,True,A05
P8-014,8,1070,391,168,162,11672,True,A06
P8-015,8,14,432,129,177,11066,False,
P8-016,8,206,432,126,177,11027,False,
P8-017,8,359,432,110,175,10752,False,
P8-018,8,488,434,105,175,10671,False,
P8-019,8,614,436,125,175,10361,False,
P8-020,8,761,434,129,176,10482,False,
P8-021,8,44,637,247,123,22100,True,A07
P8-022,8,385,620,177,151,17481,True,A08
P8-023,8,658,646,208,121,14900,True,A09
P8-024,8,935,624,206,145,17373,True,A10
P8-025,8,12,803,84,71,3978,False,
P8-026,8,130,803,83,72,4024,False,
P8-027,8,282,794,62,70,3346,False,
P8-028,8,357,794,63,70,3378,False,
P8-029,8,497,791,66,68,3211,False,
P8-030,8,583,798,66,68,3216,False,
P8-031,8,688,795,60,74,2963,False,
P8-032,8,786,794,59,73,2959,False,
P8-033,8,944,805,65,68,3175,False,
P8-034,8,1036,803,63,71,3253,False,
P8-035,8,1152,802,58,71,2801,False,
P8-036,8,26,896,64,66,3366,False,
P8-037,8,135,894,68,67,3543,False,
P8-038,8,275,888,57,90,3571,False,
P8-039,8,364,889,56,89,3491,False,
P8-040,8,486,895,62,73,3108,False,
P8-041,8,575,894,64,74,3119,False,
P8-042,8,695,898,162,86,8933,False,
P8-043,8,966,896,82,86,4557,False,
P8-044,8,1081,896,82,86,4505,False,
P8-045,8,143,1018,105,93,5848,False,
P8-046,8,274,1018,105,94,5944,False,
P8-047,8,731,995,504,222,111355,False,
