index_id,sheet,x,y,w,h,area_px,selected_by_active_set,semantic_ids
P4-001,4,14,15,208,108,22292,False,
P4-002,4,492,45,76,50,1436,True,E03
P4-003,4,1129,52,73,37,1277,False,
P4-004,4,238,28,77,86,4811,True,E01
P4-005,4,376,28,79,87,4880,True,E02
P4-006,4,625,55,76,43,1409,True,E04
P4-007,4,733,25,78,89,4899,False,
P4-008,4,877,56,64,51,1644,False,
P4-009,4,987,27,76,87,4702,False,
P4-010,4,1075,103,47,39,1108,False,
P4-011,4,17,156,80,85,4822,False,
P4-012,4,149,158,76,84,4494,False,
P4-013,4,250,157,77,84,3962,True,E05
P4-014,4,382,155,79,86,4127,True,E06
P4-015,4,486,158,79,81,4435,False,
P4-016,4,625,160,80,81,4508,False,
P4-017,4,740,161,80,77,4381,True,E07
P4-018,4,881,162,77,73,4095,True,E08
P4-019,4,996,157,82,77,4292,False,
P4-020,4,1141,155,79,79,4095,False,
P4-021,4,482,262,86,90,5503,True,E11
P4-022,4,625,260,87,92,5673,True,E12
P4-023,4,742,264,218,99,14865,False,
P4-024,4,992,262,218,94,13970,False,
P4-025,4,14,274,72,92,4338,True,E09
P4-026,4,138,270,74,92,4515,True,E10
P4-027,4,244,268,81,96,5137,False,
P4-028,4,371,267,81,97,5257,False,
P4-029,4,13,382,81,85,4797,True,E13
P4-030,4,133,380,81,85,4683,True,E14
P4-031,4,245,379,83,90,5239,False,
P4-032,4,379,377,83,90,5187,False,
P4-033,4,500,377,74,86,4452,False,
P4-034,4,628,373,74,88,4516,False,
P4-035,4,762,416,62,52,1501,False,
P4-036,4,888,407,61,58,1637,False,
P4-037,4,21,498,101,35,1073,False,
P4-038,4,163,497,97,33,1102,False,
P4-039,4,291,509,91,29,851,False,
P4-040,4,422,507,94,29,928,False,
P4-041,4,543,510,92,22,755,False,
P4-042,4,674,510,94,22,826,False,
P4-043,4,795,513,104,34,1286,False,
P4-044,4,939,512,104,35,1295,False,
P4-045,4,1059,494,174,56,6906,False,
P4-046,4,13,513,118,54,2749,False,
P4-047,4,152,515,116,49,2521,False,
P4-048,4,285,527,102,37,1600,False,
P4-049,4,417,524,102,39,1818,False,
P4-050,4,534,529,103,34,1653,False,
P4-051,4,672,528,103,36,1723,False,
P4-052,4,794,578,102,22,943,False,
P4-053,4,941,579,98,22,915,False,
P4-054,4,1074,556,147,53,2958,False,
P4-055,4,23,592,84,54,1804,False,
P4-056,4,162,591,89,54,2098,False,
P4-057,4,295,592,85,49,1404,False,
P4-058,4,423,590,83,53,1355,False,
P4-059,4,544,592,69,43,1019,False,
P4-060,4,689,592,78,46,1256,False,
P4-061,4,792,638,102,27,869,False,
P4-062,4,936,639,95,25,785,False,
P4-063,4,1056,617,184,57,7982,False,
P4-064,4,540,657,85,21,621,False,
P4-065,4,676,658,86,19,611,False,
P4-066,4,35,667,81,25,834,False,
P4-067,4,165,666,79,25,796,False,
P4-068,4,301,661,82,32,1116,False,
P4-069,4,421,660,88,32,1144,False,
P4-070,4,20,709,87,17,754,False,
P4-071,4,151,709,89,18,768,False,
P4-072,4,298,710,71,18,828,False,
P4-073,4,423,711,65,17,850,False,
P4-074,4,558,710,66,19,701,False,
P4-075,4,1075,674,141,47,3125,False,
P4-076,4,688,709,65,22,762,False,
P4-077,4,1056,733,172,59,7222,False,
P4-078,4,16,741,84,97,6159,False,
P4-079,4,125,742,87,96,6274,False,
P4-080,4,781,770,86,29,905,False,
P4-081,4,932,770,84,29,901,False,
P4-082,4,235,755,77,82,4606,False,
P4-083,4,344,755,76,82,4610,False,
P4-084,4,438,764,87,63,3827,False,
P4-085,4,547,761,90,66,4267,False,
P4-086,4,649,761,93,74,4989,False,
P4-087,4,776,807,93,24,692,False,
P4-088,4,932,808,89,24,650,False,
P4-089,4,1064,795,166,50,5247,False,
P4-090,4,271,849,74,77,4544,False,
P4-091,4,356,852,63,69,3491,False,
P4-092,4,433,853,54,60,2545,False,
P4-093,4,502,853,53,60,2553,False,
P4-094,4,568,852,55,61,2596,False,
P4-095,4,635,849,59,67,2671,False,
P4-096,4,703,852,48,57,2142,False,
P4-097,4,777,861,27,42,731,False,
P4-098,4,817,852,31,56,997,False,
P4-099,4,870,849,43,61,1477,False,
P4-100,4,933,849,40,65,1433,False,
P4-101,4,985,847,65,73,2348,False,
P4-102,4,1065,847,168,65,8602,False,
P4-103,4,15,851,75,82,4942,False,
P4-104,4,99,851,76,81,4930,False,
P4-105,4,184,848,77,82,5042,False,
P4-106,4,780,932,28,37,718,False,
P4-107,4,829,932,29,32,678,False,
P4-108,4,880,932,46,36,1261,False,
P4-109,4,953,932,30,29,676,False,
P4-110,4,1080,918,138,71,7488,False,
P4-111,4,19,940,68,71,3817,False,
P4-112,4,104,939,69,71,3892,False,
P4-113,4,186,936,71,74,4164,False,
P4-114,4,269,932,70,73,3999,False,
P4-115,4,358,933,61,64,3112,False,
P4-116,4,433,930,59,64,2986,False,
P4-117,4,505,931,58,65,2978,False,
P4-118,4,572,931,56,63,2780,False,
P4-119,4,647,938,48,52,2023,False,
P4-120,4,713,939,41,44,1302,False,
P4-121,4,801,985,34,36,974,False,
P4-122,4,868,983,36,44,957,False,
P4-123,4,933,978,42,40,1157,False,
P4-124,4,1008,961,54,61,2124,False,
P4-125,4,651,1006,44,51,1800,False,
P4-126,4,714,1012,30,39,937,False,
P4-127,4,18,1014,65,69,3512,False,
P4-128,4,104,1014,67,69,3628,False,
P4-129,4,188,1014,67,68,3591,False,
P4-130,4,274,1013,62,64,3097,False,
P4-131,4,357,1008,61,63,3045,False,
P4-132,4,431,1007,58,62,2850,False,
P4-133,4,502,1008,59,62,2846,False,
P4-134,4,575,1007,57,59,2608,False,
P4-135,4,943,1034,58,50,1550,False,
P4-136,4,1006,1035,49,44,821,False,
P4-137,4,763,1058,44,33,885,False,
P4-138,4,832,1042,30,49,945,False,
P4-139,4,885,1031,34,69,1306,False,
P4-140,4,1077,1006,154,122,11611,False,
P4-141,4,429,1086,45,30,880,False,
P4-142,4,503,1086,27,28,593,False,
P4-143,4,579,1082,36,29,835,False,
P4-144,4,677,1083,27,25,533,False,
P4-145,4,23,1096,47,46,1717,False,
P4-146,4,86,1099,35,37,1006,False,
P4-147,4,135,1101,32,33,836,False,
P4-148,4,193,1096,33,35,948,False,
P4-149,4,280,1094,38,37,825,False,
P4-150,4,381,1086,21,38,558,False,
P4-151,4,745,1107,39,39,1203,False,
P4-152,4,807,1106,50,36,1410,False,
P4-153,4,887,1101,102,48,3685,False,
P4-154,4,997,1097,47,32,1094,False,
P4-155,4,1087,1097,52,30,1219,False,
P4-156,4,433,1135,25,27,538,False,
P4-157,4,506,1125,25,34,596,False,
P4-158,4,573,1123,30,33,694,False,
P4-159,4,186,1148,34,36,943,False,
P4-160,4,350,1141,27,28,615,False,
P4-161,4,790,1151,37,38,1132,False,
P4-162,4,896,1158,53,35,1380,False,
P4-163,4,985,1143,70,32,1721,False,
P4-164,4,24,1154,48,47,1780,False,
P4-165,4,92,1161,33,34,863,False,
P4-166,4,137,1162,27,29,610,False,
P4-167,4,616,1174,25,27,521,False,
P4-168,4,743,1162,23,31,547,False,
P4-169,4,1084,1144,66,90,4671,False,
P4-170,4,1174,1144,64,91,4667,False,
P4-171,4,86,1210,27,26,558,False,
P4-172,4,186,1198,33,35,902,False,
P4-173,4,271,1204,24,26,502,False,
P4-174,4,805,1199,22,34,586,False,
P4-175,4,844,1195,27,43,784,False,
P4-176,4,939,1189,27,50,967,False,
P4-177,4,993,1189,23,41,742,False,
P4-178,4,1026,1187,24,52,949,False,
P4-179,4,24,1206,42,38,1257,False,
