index_id,sheet,x,y,w,h,area_px,selected_by_active_set,semantic_ids
P7-001,7,9,19,359,372,87543,False,
P7-002,7,376,136,190,177,21949,False,
P7-003,7,585,137,200,175,22577,True,T01
P7-004,7,781,139,243,173,28004,False,
P7-005,7,1031,139,215,199,29149,False,
P7-006,7,833,372,164,104,14142,True,T02
P7-007,7,1069,379,127,88,8338,True,T03
P7-008,7,253,361,244,248,38146,False,
P7-009,7,513,354,290,251,49588,False,
P7-010,7,839,500,153,94,12771,False,
P7-011,7,1037,493,188,88,12832,True,T04
P7-012,7,1018,617,62,47,2151,False,
P7-013,7,1093,617,57,46,2113,False,
P7-014,7,1161,617,61,47,2144,False,
P7-015,7,16,609,113,149,9085,False,
P7-016,7,189,610,114,151,9303,False,
P7-017,7,600,619,107,120,8068,False,
P7-018,7,313,620,105,148,8881,False,
P7-019,7,478,621,106,147,8960,False,
P7-020,7,714,617,109,155,10688,False,
P7-021,7,852,661,108,94,6057,False,
P7-022,7,962,659,106,110,6685,False,
P7-023,7,1084,695,61,50,2303,False,
P7-024,7,1156,695,60,48,2262,False,
P7-025,7,29,776,227,108,17315,False,
P7-026,7,757,805,225,41,3557,False,
P7-027,7,1003,797,227,75,11559,False,
P7-028,7,256,776,256,156,27409,False,
P7-029,7,510,778,240,152,26183,False,
P7-030,7,759,862,223,61,9421,False,
P7-031,7,999,854,235,81,9863,False,
P7-032,7,10,961,254,256,47536,False,
P7-033,7,267,960,237,259,44881,False,
P7-034,7,515,958,234,258,46106,False,
P7-035,7,759,965,238,256,45491,False,
P7-036,7,1004,947,239,275,46874,False,
