index_id,sheet,x,y,w,h,area_px,selected_by_active_set,semantic_ids
P6-001,6,1136,94,50,44,640,False,
P6-002,6,398,105,114,35,1294,True,M01
P6-003,6,558,101,125,40,1334,True,M02
P6-004,6,745,80,131,97,6796,False,
P6-005,6,923,82,135,94,4683,False,
P6-006,6,23,20,320,283,60454,False,
P6-007,6,372,200,76,113,6752,True,M06
P6-008,6,497,227,49,71,2757,False,
P6-009,6,864,253,86,21,646,False,
P6-010,6,1120,227,109,77,4316,True,M08
P6-011,6,580,248,103,33,1178,True,M07
P6-012,6,721,252,100,27,845,False,
P6-013,6,979,245,113,55,1918,False,
P6-014,6,48,351,81,80,5134,True,M04
P6-015,6,173,346,85,86,5891,False,
P6-016,6,312,357,91,74,5348,False,
P6-017,6,453,345,122,94,6068,True,M05
P6-018,6,613,346,113,86,4507,False,
P6-019,6,775,353,102,82,6756,False,
P6-020,6,934,357,113,42,1097,False,
P6-021,6,1109,354,121,58,2866,False,
P6-022,6,38,473,101,47,3797,False,
P6-023,6,179,464,111,63,5560,False,
P6-024,6,332,466,89,64,4508,False,
P6-025,6,472,473,92,48,3355,False,
P6-026,6,606,474,117,52,4639,False,
P6-027,6,772,477,109,44,3686,False,
P6-028,6,933,472,112,47,4091,False,
P6-029,6,1115,480,95,38,2875,False,
P6-030,6,42,557,83,41,2679,True,M03
P6-031,6,333,554,85,48,3168,False,
P6-032,6,628,557,74,38,2188,False,
P6-033,6,780,556,84,44,3025,False,
P6-034,6,190,555,81,48,2987,False,
P6-035,6,476,557,81,45,2617,False,
P6-036,6,939,556,98,60,4682,False,
P6-037,6,1119,567,90,59,4271,False,
P6-038,6,52,627,61,65,3191,False,
P6-039,6,193,630,73,55,3017,False,
P6-040,6,341,623,71,66,3752,False,
P6-041,6,487,623,58,66,3304,False,
P6-042,6,634,621,61,62,3024,False,
P6-043,6,799,625,49,64,2439,False,
P6-044,6,967,631,42,54,1781,False,
P6-045,6,1136,649,54,32,896,False,
P6-046,6,936,713,84,54,3572,False,
P6-047,6,1043,710,80,54,3388,False,
P6-048,6,1145,710,83,54,3597,False,
P6-049,6,224,746,51,16,661,False,
P6-050,6,323,736,71,25,1362,False,
P6-051,6,453,727,70,49,2681,False,
P6-052,6,595,725,92,54,3945,False,
P6-053,6,762,724,89,51,3566,False,
P6-054,6,137,792,40,18,551,False,
P6-055,6,224,790,52,22,917,False,
P6-056,6,323,784,72,32,1801,False,
P6-057,6,452,792,73,41,2339,False,
P6-058,6,596,788,89,49,3472,False,
P6-059,6,765,788,86,47,3211,False,
P6-060,6,936,776,82,52,3509,False,
P6-061,6,1042,772,81,53,3487,False,
P6-062,6,1144,771,81,53,3457,False,
P6-063,6,55,846,33,22,568,False,
P6-064,6,137,843,41,23,743,False,
P6-065,6,223,841,54,27,1127,False,
P6-066,6,324,837,70,35,1920,False,
P6-067,6,940,836,80,49,3098,False,
P6-068,6,1046,836,78,48,2992,False,
P6-069,6,1146,835,80,50,3090,False,
P6-070,6,452,854,73,38,2084,False,
P6-071,6,598,848,85,48,3238,False,
P6-072,6,766,849,85,47,3138,False,
P6-073,6,136,898,42,25,835,False,
P6-074,6,222,896,56,30,1331,False,
P6-075,6,324,893,71,38,2080,False,
P6-076,6,49,902,46,27,963,False,
P6-077,6,451,912,74,37,2046,False,
P6-078,6,600,908,82,49,3224,False,
P6-079,6,767,910,84,49,3241,False,
P6-080,6,937,893,86,55,3726,False,
P6-081,6,1043,891,84,55,3593,False,
P6-082,6,1146,891,80,52,3370,False,
P6-083,6,38,961,67,35,1830,False,
P6-084,6,131,954,53,32,1338,False,
P6-085,6,219,952,64,37,1856,False,
P6-086,6,317,950,86,46,3014,False,
P6-087,6,449,965,79,34,2056,False,
P6-088,6,961,958,38,33,923,False,
P6-089,6,1066,957,37,32,878,False,
P6-090,6,1164,955,37,32,866,False,
P6-091,6,593,971,97,47,3554,False,
P6-092,6,767,975,84,46,3042,False,
P6-093,6,963,1013,34,27,682,False,
P6-094,6,1068,1012,34,27,679,False,
P6-095,6,1166,1011,30,24,555,False,
P6-096,6,36,1023,70,37,2047,False,
P6-097,6,127,1015,63,39,1915,False,
P6-098,6,215,1013,72,42,2353,False,
P6-099,6,316,1013,88,51,3465,False,
P6-100,6,447,1016,84,36,2329,False,
P6-101,6,592,1029,98,45,3399,False,
P6-102,6,764,1030,90,44,3098,False,
P6-103,6,962,1064,35,27,695,False,
P6-104,6,1068,1062,35,27,694,False,
P6-105,6,1164,1063,32,26,623,False,
P6-106,6,1046,1111,61,23,847,False,
P6-107,6,1150,1114,56,21,722,False,
P6-108,6,534,1137,82,18,535,False,
P6-109,6,945,1113,71,27,1344,False,
P6-110,6,946,1154,71,22,1183,False,
P6-111,6,1052,1155,54,20,809,False,
P6-112,6,1152,1155,53,20,780,False,
P6-113,6,137,1177,21,31,520,False,
P6-114,6,205,1177,21,33,576,False,
P6-115,6,280,1176,24,39,720,False,
P6-116,6,361,1175,27,39,730,False,
P6-117,6,460,1178,23,36,654,False,
P6-118,6,535,1175,83,32,966,False,
P6-119,6,662,1173,66,37,911,False,
