index_id,sheet,x,y,w,h,area_px,selected_by_active_set,semantic_ids
P2-001,2,675,26,272,285,39187,False,
P2-002,2,963,49,261,243,31731,True,H02
P2-003,2,23,36,334,223,50711,True,H01
P2-004,2,360,17,281,312,65663,False,
P2-005,2,126,304,39,144,1915,False,
P2-006,2,218,304,30,149,1964,False,
P2-007,2,611,340,71,82,4720,True,H05
P2-008,2,715,341,71,81,4674,True,H06
P2-009,2,822,341,75,78,4140,False,
P2-010,2,999,332,67,87,3868,False,
P2-011,2,1157,333,41,84,2392,False,
P2-012,2,9,270,79,226,7925,False,
P2-013,2,84,289,54,220,5324,False,
P2-014,2,242,294,51,212,5010,False,
P2-015,2,283,276,92,227,9210,False,
P2-016,2,902,365,79,79,4649,False,
P2-017,2,403,336,43,172,2859,False,
P2-018,2,537,334,45,174,3140,False,
P2-019,2,1034,413,58,84,3267,False,
P2-020,2,1122,411,58,84,3249,False,
P2-021,2,9,508,102,230,11225,True,H03
P2-022,2,200,512,105,231,11367,True,H04
P2-023,2,317,512,131,240,14045,False,
P2-024,2,703,519,90,181,9902,False,
P2-025,2,803,501,120,196,12832,False,
P2-026,2,935,505,103,232,12448,False,
P2-027,2,454,512,122,243,15110,False,
P2-028,2,602,509,87,234,13774,False,
P2-029,2,1028,537,112,168,8551,False,
P2-030,2,1124,508,119,220,12592,False,
P2-031,2,1123,743,112,180,8552,False,
P2-032,2,309,776,35,118,1898,False,
P2-033,2,619,761,24,149,1381,False,
P2-034,2,716,747,18,166,1918,False,
P2-035,2,765,746,37,174,2380,False,
P2-036,2,842,733,36,174,2296,False,
P2-037,2,903,746,50,166,2454,False,
P2-038,2,965,755,129,164,8547,False,
P2-039,2,1081,745,74,162,3788,False,
P2-040,2,10,751,100,172,7786,False,
P2-041,2,115,756,114,168,7109,False,
P2-042,2,235,761,120,171,8995,False,
P2-043,2,367,754,110,157,8332,False,
P2-044,2,490,772,41,137,1854,False,
P2-045,2,545,774,27,139,1606,False,
P2-046,2,573,792,26,118,1356,False,
P2-047,2,677,773,26,137,1255,False,
P2-048,2,803,811,30,111,1229,False,
P2-049,2,435,930,48,29,649,False,
P2-050,2,32,941,32,47,975,False,
P2-051,2,81,944,31,47,959,False,
P2-052,2,132,942,31,51,1077,False,
P2-053,2,185,943,26,44,794,False,
P2-054,2,230,946,22,39,610,False,
P2-055,2,270,948,19,36,500,False,
P2-056,2,315,951,35,42,705,False,
P2-057,2,393,955,31,40,596,False,
P2-058,2,494,935,61,97,2188,False,
P2-059,2,549,935,57,87,1784,False,
P2-060,2,611,940,61,92,2186,False,
P2-061,2,699,937,56,93,2355,False,
P2-062,2,764,936,50,93,1032,False,
P2-063,2,817,941,52,112,2377,False,
P2-064,2,11,1015,59,86,2018,False,
P2-065,2,84,1008,56,90,2396,False,
P2-066,2,159,1005,56,93,1966,False,
P2-067,2,229,1010,64,92,2811,False,
P2-068,2,311,1026,72,62,2053,False,
P2-069,2,417,1012,67,96,2153,False,
P2-070,2,506,1013,95,98,2899,False,
P2-071,2,632,1052,110,44,1895,False,
P2-072,2,911,945,337,235,53602,False,
P2-073,2,760,1066,89,46,1421,False,
P2-074,2,13,1110,39,83,1232,False,
P2-075,2,100,1113,82,115,2774,False,
P2-076,2,193,1114,92,112,3753,False,
P2-077,2,293,1113,47,105,1637,False,
P2-078,2,428,1122,33,80,964,False,
P2-079,2,456,1115,85,116,3209,False,
P2-080,2,559,1123,55,106,2417,False,
P2-081,2,604,1114,64,105,1824,False,
P2-082,2,694,1115,46,98,2029,False,
P2-083,2,776,1124,44,104,1931,False,
P2-084,2,825,1135,60,87,1605,False,
P2-085,2,42,1119,55,115,2536,False,
P2-086,2,320,1123,64,106,2656,False,
